"","Value","NAME","LC_1","AGG_NAME_1","LC_2","AGG_NAME_2","CLIMATE"
"1",1,"0_0_2","No data","No Data","No data","No Data","Boreal_Dry"
"2",2,"10_0_2","Cropland, rainfed","Cropland","No data","No Data","Boreal_Dry"
"3",3,"11_0_2","Herbaceous cover","Cropland","No data","No Data","Boreal_Dry"
"4",4,"12_0_2","Tree or shrub cover","Cropland","No data","No Data","Boreal_Dry"
"5",5,"20_0_2","Cropland, irrigated or post-flooding","Cropland","No data","No Data","Boreal_Dry"
"6",6,"30_0_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","No data","No Data","Boreal_Dry"
"7",7,"40_0_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"8",8,"50_0_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"9",9,"60_0_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"10",10,"61_0_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"11",11,"62_0_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"12",12,"70_0_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"13",13,"71_0_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"14",14,"72_0_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"15",15,"80_0_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","No data","No Data","Boreal_Dry"
"16",16,"81_0_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","No data","No Data","Boreal_Dry"
"17",17,"82_0_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","No data","No Data","Boreal_Dry"
"18",18,"90_0_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","No data","No Data","Boreal_Dry"
"19",19,"100_0_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","No data","No Data","Boreal_Dry"
"20",20,"110_0_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"21",21,"120_0_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"22",22,"121_0_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"23",23,"122_0_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"24",24,"130_0_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"25",25,"140_0_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"26",26,"150_0_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"27",27,"151_0_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"28",28,"152_0_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"29",29,"153_0_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","No data","No Data","Boreal_Dry"
"30",30,"160_0_2","Tree cover, flooded, fresh or brakish water","Forest","No data","No Data","Boreal_Dry"
"31",31,"170_0_2","Tree cover, flooded, saline water","Wetlands","No data","No Data","Boreal_Dry"
"32",32,"180_0_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","No data","No Data","Boreal_Dry"
"33",33,"190_0_2","Urban areas","Artificial areas","No data","No Data","Boreal_Dry"
"34",34,"200_0_2","Bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"35",35,"201_0_2","Consolidated bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"36",36,"202_0_2","Unconsolidated bare areas","Bare land and other areas","No data","No Data","Boreal_Dry"
"37",37,"210_0_2","Water bodies","Water bodies","No data","No Data","Boreal_Dry"
"38",38,"220_0_2","Permanent snow and ice","Bare land and other areas","No data","No Data","Boreal_Dry"
"39",39,"0_10_2","No data","No Data","Cropland, rainfed","Cropland","Boreal_Dry"
"40",40,"10_10_2","Cropland, rainfed","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"41",41,"11_10_2","Herbaceous cover","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"42",42,"12_10_2","Tree or shrub cover","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"43",43,"20_10_2","Cropland, irrigated or post-flooding","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"44",44,"30_10_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Cropland, rainfed","Cropland","Boreal_Dry"
"45",45,"40_10_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"46",46,"50_10_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"47",47,"60_10_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"48",48,"61_10_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"49",49,"62_10_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"50",50,"70_10_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"51",51,"71_10_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"52",52,"72_10_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"53",53,"80_10_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"54",54,"81_10_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"55",55,"82_10_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"56",56,"90_10_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"57",57,"100_10_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"58",58,"110_10_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"59",59,"120_10_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"60",60,"121_10_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"61",61,"122_10_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"62",62,"130_10_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"63",63,"140_10_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"64",64,"150_10_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"65",65,"151_10_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"66",66,"152_10_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"67",67,"153_10_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Cropland, rainfed","Cropland","Boreal_Dry"
"68",68,"160_10_2","Tree cover, flooded, fresh or brakish water","Forest","Cropland, rainfed","Cropland","Boreal_Dry"
"69",69,"170_10_2","Tree cover, flooded, saline water","Wetlands","Cropland, rainfed","Cropland","Boreal_Dry"
"70",70,"180_10_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Cropland, rainfed","Cropland","Boreal_Dry"
"71",71,"190_10_2","Urban areas","Artificial areas","Cropland, rainfed","Cropland","Boreal_Dry"
"72",72,"200_10_2","Bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"73",73,"201_10_2","Consolidated bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"74",74,"202_10_2","Unconsolidated bare areas","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"75",75,"210_10_2","Water bodies","Water bodies","Cropland, rainfed","Cropland","Boreal_Dry"
"76",76,"220_10_2","Permanent snow and ice","Bare land and other areas","Cropland, rainfed","Cropland","Boreal_Dry"
"77",77,"0_11_2","No data","No Data","Herbaceous cover","Cropland","Boreal_Dry"
"78",78,"10_11_2","Cropland, rainfed","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"79",79,"11_11_2","Herbaceous cover","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"80",80,"12_11_2","Tree or shrub cover","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"81",81,"20_11_2","Cropland, irrigated or post-flooding","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"82",82,"30_11_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Herbaceous cover","Cropland","Boreal_Dry"
"83",83,"40_11_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Herbaceous cover","Cropland","Boreal_Dry"
"84",84,"50_11_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"85",85,"60_11_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"86",86,"61_11_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"87",87,"62_11_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
"88",88,"70_11_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Herbaceous cover","Cropland","Boreal_Dry"
