"","Value","Name"
"1",1,"Artificial areas / low"
"2",2,"Bare land and other areas / low"
"3",3,"Cropland / low"
"4",4,"Forest / low"
"5",5,"No Data / low"
"6",6,"Shrubs, grasslands and sparsely vegetated areas / low"
"7",7,"Water bodies / low"
"8",8,"Wetlands / low"
"9",9,"Artificial areas / moderate"
"10",10,"Bare land and other areas / moderate"
"11",11,"Cropland / moderate"
"12",12,"Forest / moderate"
"13",13,"No Data / moderate"
"14",14,"Shrubs, grasslands and sparsely vegetated areas / moderate"
"15",15,"Water bodies / moderate"
"16",16,"Wetlands / moderate"
"17",17,"Artificial areas / high"
"18",18,"Bare land and other areas / high"
"19",19,"Cropland / high"
"20",20,"Forest / high"
"21",21,"No Data / high"
"22",22,"Shrubs, grasslands and sparsely vegetated areas / high"
"23",23,"Water bodies / high"
"24",24,"Wetlands / high"
"25",25,"Artificial areas / organic"
"26",26,"Bare land and other areas / organic"
"27",27,"Cropland / organic"
"28",28,"Forest / organic"
"29",29,"No Data / organic"
"30",30,"Shrubs, grasslands and sparsely vegetated areas / organic"
"31",31,"Water bodies / organic"
"32",32,"Wetlands / organic"
