"","min","q1st","median","mean","q3rd","max","na.count","layer_name"
"1",0,359,709,715.232354130927,993,4549,2143,"clm_precipitation_sm2rain.annual_m_1km_s0..0cm_2007..2018_v0.2.tif"
"2",0,28,65,64.9787526168001,96,485,2143,"clm_precipitation_sm2rain.apr_m_1km_s0..0cm_2007..2018_v0.2.tif"
"3",0,15,27,26.9083079158018,38,202,2143,"clm_precipitation_sm2rain.apr_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"4",0,40,73,68.7473138122754,93,724,2143,"clm_precipitation_sm2rain.aug_m_1km_s0..0cm_2007..2018_v0.2.tif"
"5",0,20,28,27.6911245818287,35,272,2143,"clm_precipitation_sm2rain.aug_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"6",0,13,28,44.9291507837851,70,523,2143,"clm_precipitation_sm2rain.dec_m_1km_s0..0cm_2007..2018_v0.2.tif"
"7",0,5,13,17.8184523897401,26,173,2143,"clm_precipitation_sm2rain.dec_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"8",0,11,22,35.8949323396629,53,522,2143,"clm_precipitation_sm2rain.feb_m_1km_s0..0cm_2007..2018_v0.2.tif"
"9",0,4,11,14.183168623792,22,145,2143,"clm_precipitation_sm2rain.feb_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"10",0,11,21,38.1524402306623,56,579,2143,"clm_precipitation_sm2rain.jan_m_1km_s0..0cm_2007..2018_v0.2.tif"
"11",0,2,8,13.7140845112009,22,167,2143,"clm_precipitation_sm2rain.jan_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"12",0,40,75,68.8791208142271,96,765,2143,"clm_precipitation_sm2rain.jul_m_1km_s0..0cm_2007..2018_v0.2.tif"
"13",0,19,27,27.0938357195794,36,254,2143,"clm_precipitation_sm2rain.jul_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"14",0,51,90,80.7587790136325,111,828,2143,"clm_precipitation_sm2rain.jun_m_1km_s0..0cm_2007..2018_v0.2.tif"
"15",0,25,38,34.7018279954056,46,260,2143,"clm_precipitation_sm2rain.jun_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"16",0,20,44,52.5592349052342,75,564,2143,"clm_precipitation_sm2rain.mar_m_1km_s0..0cm_2007..2018_v0.2.tif"
"17",0,8,17,19.080802652675,28,160,2143,"clm_precipitation_sm2rain.mar_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"18",0,48,92,84.5387256884879,118,614,2143,"clm_precipitation_sm2rain.may_m_1km_s0..0cm_2007..2018_v0.2.tif"
"19",0,24,37,34.9964981383442,47,208,2143,"clm_precipitation_sm2rain.may_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"20",0,16,37,47.7914945508552,74,539,2143,"clm_precipitation_sm2rain.nov_m_1km_s0..0cm_2007..2018_v0.2.tif"
"21",0,10,17,21.0886272170829,30,150,2143,"clm_precipitation_sm2rain.nov_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"22",0,29,63,60.6572073096195,82,704,2143,"clm_precipitation_sm2rain.oct_m_1km_s0..0cm_2007..2018_v0.2.tif"
"23",0,20,29,30.5575696017149,39,165,2143,"clm_precipitation_sm2rain.oct_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"24",0,35,75,67.3027663526014,93,562,2143,"clm_precipitation_sm2rain.sep_m_1km_s0..0cm_2007..2018_v0.2.tif"
"25",0,22,27,30.0827602701099,39,192,2143,"clm_precipitation_sm2rain.sep_sd.10_10km_s0..0cm_2007..2018_v1.0.tif"
"26",12800,14400,14640,14658.5161508711,14930,16030,2143,"clm_lst_mod11a2.annual.day_m_1km_s0..0cm_2000..2017_v1.0.tif"
"27",71,192,223,219.269262183089,246,406,2143,"clm_lst_mod11a2.annual.day_sd_1km_s0..0cm_2000..2017_v1.0.tif"
"28",12690,13760,13950,13971.9041309667,14140,15000,2143,"clm_lst_mod11a2.annual.night_m_1km_s0..0cm_2000..2017_v1.0.tif"
"29",12640,14670,14850,14847.5089865009,15070,16330,2143,"clm_lst_mod11a2.apr.day_m_1km_s0..0cm_2000..2017_v1.0.tif"
"30",42,176,209,215.483021578047,249,534,2143,"clm_lst_mod11a2.apr.day_sd_1km_s0..0cm_2000..2017_v1.0.tif"
