layer_unique_number,layer_distribution_folder,layer_filename_pattern,layer_filename_shortname,layer_gee_id,layer_gee_product_list,layer_filename_sld,variable_generic_name,layer_display_type,layer_theme,layer_title,layer_title_description,layer_units,layer_derivation_url,layer_description_url,layer_organization,layer_contact,layer_contact_email,layer_data_license,layer_data_license_url,layer_citation_date,layer_citation_title,layer_citation_doi,layer_download_url,layer_zenodo_deposit,layer_metadata_url,layer_public_download
1.1,layers250m,dtm_slope_merit.dem_m_250m_s0..0cm_2017_v1.0.tif,dtm_slope_merit.dem_m,DTM_SLOPE_MERIT-DEM_M,"relief,slope,merit,dem",dtm_slope_merit.dem_m.sld,slope,2D_N,dtm,Slope in radians,Based on the MERIT DEM (Yamazaki et al. 2017) derived using SAGA GIS and Equi7 grid system.,radians,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/MERIT,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,EnvirometriX Ltd,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5-Oct-2018,"Global DEM derivatives at 250 m, 1 km and 2 km based on the MERIT DEM",10.5281/zenodo.1447209,https://doi.org/10.5281/zenodo.1447209,1447210,http://www.saga-gis.org/saga_tool_doc/2.1.4/ta_morphometry_0.html,1
1.2,layers500m,dtm_twi_merit.dem_m_500m_s0..0cm_2017_v1.0.tif,dtm_twi_merit.dem_m,DTM_TWI_MERIT-DEM_M,"twi,merit,dem",dtm_twi_merit.dem_m.sld,twi,2D_N,dtm,SAGA Topographic Wetness Index (TWI),Based on the MERIT DEM (Yamazaki et al. 2017) derived using SAGA GIS and Equi7 grid system.,index,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/MERIT,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,EnvirometriX Ltd,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5-Oct-2018,"Global DEM derivatives at 250 m, 1 km and 2 km based on the MERIT DEM",10.5281/zenodo.1447209,https://doi.org/10.5281/zenodo.1447209,1447210,http://www.saga-gis.org/saga_tool_doc/2.1.4/ta_hydrology_15.html,1
1.3,layers250m,dtm_vbf_merit.dem_m_250m_s0..0cm_2017_v1.0.tif,dtm_vbf_merit.dem_m,DTM_VBF_MERIT-DEM_M,"vbf,merit,dem",dtm_vbf_merit.dem_m.sld,vbf,2D_N,dtm,Module Multiresolution Index of Valley Bottom Flatness (MRVBF),Based on the MERIT DEM (Yamazaki et al. 2017) derived using SAGA GIS and Equi7 grid system.,index,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/MERIT,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,EnvirometriX Ltd,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5-Oct-2018,"Global DEM derivatives at 250 m, 1 km and 2 km based on the MERIT DEM",10.5281/zenodo.1447209,https://doi.org/10.5281/zenodo.1447209,1447210,http://www.saga-gis.org/saga_tool_doc/2.1.4/ta_morphometry_8.html,1
1.4,layers250m,dtm_lithology_usgs.ecotapestry_c_250m_s0..0cm_2014_v1.0.tif,dtm_lithology_usgs.ecotapestry_c,DTM_LITHOLOGY_USGS-ECOTAPESTRY_C,"rock,usgs",dtm_lithology_usgs.ecotapestry_c.sld,lithology,2D_F,dtm,Rock type,"Based on the USGS Global Ecophysiography map / Global Lithological Map database v1.1 (GLiM, Hartmann and Moosdorf, 2012).",factor,https://github.com/Envirometrix/LandGISmaps,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,USGS Geosciences and Environmental Change Science Center,Roger Sayre,,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5-Oct-2018,Global landform and lithology class at 250 m based on the USGS global ecosystem map,10.5281/zenodo.1447198,https://doi.org/10.5281/zenodo.1447198,1464846,http://gec.cr.usgs.gov/,1
1.5,layers250m,dtm_landform_usgs.ecotapestry_c_250m_s0..0cm_2014_v1.0.tif,dtm_landform_usgs.ecotapestry_c,DTM_LANDFORM_USGS-ECOTAPESTRY_C,"landform,usgs",dtm_landform_usgs.ecotapestry_c.sld,landform,2D_F,dtm,Landform class,Based on the USGS Global Ecophysiography map.,factor,https://github.com/Envirometrix/LandGISmaps,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,USGS Geosciences and Environmental Change Science Center,Roger Sayre,,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,5-Oct-2018,Global landform and lithology class at 250 m based on the USGS global ecosystem map,10.5281/zenodo.1447198,https://doi.org/10.5281/zenodo.1447198,1464846,http://gec.cr.usgs.gov/,1
1.6,layers1km,dtm_earthquakes.dens_earthquake.usgs_m_1km_s0..0cm_1910..2017_v1.0.tif,dtm_earthquakes.dens_earthquake.usgs_m,DTM_EARTHQUAKES-DENS_EARTHQUAKE-USGS_M,"earthquakes,usgs",dtm_earthquakes.dens_earthquake.usgs_m.sld,earthquakes.dens,2D_N,dtm,Density of Earthquakes for the last 100 years,Based on the USGS global earthquakes database.,index,https://github.com/Envirometrix/LandGISmaps/tree/master/input_layers/earthquakes,https://github.com/Envirometrix/LandGISmaps#relief-and-geology,USGS,Tom Hengl,tom.hengl@envirometrix.net,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,12-Oct-2018,USGS Earthquake Archives,10.5281/zenodo.1458946,https://doi.org/10.5281/zenodo.1458946,1458947,http://earthquake.usgs.gov/earthquakes/,1
1.7,layers250m,dtm_aspect-cosine_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_aspect-cosine_merit.dem_m,DTM_ASPECT-COSINE_MERIT-DEM_M,"cos,aspect,merit,dem",dtm_aspect-cosine_merit.dem_m.sld,aspect-cosine,2D_N,dtm,Cosine of the aspect,Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset).,"10,000 x index",https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://www.gdal.org/gdaldem.html; https://www.gdal.org/gdal_calc.html,1
1.8,layers250m,dtm_aspect-sine_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_aspect-sine_merit.dem_m,DTM_ASPECT-SINE_MERIT-DEM_M,"sin,aspect,merit,dem",dtm_aspect-sine_merit.dem_m.sld,aspect-sine,2D_N,dtm,Sine of the aspect,Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset).,"10,000 x index",https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://www.gdal.org/gdaldem.html; https://www.gdal.org/gdal_calc.html,1
1.9,layers250m,dtm_convergence_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_convergence_merit.dem_m,DTM_CONVERGENCE_MERIT-DEM_M,"convergence,merit,dem",dtm_convergence_merit.dem_m.sld,convergence,2D_N,dtm,Convergence,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system.",100 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/addons/r.convergence.html,1
1.10,layers250m,dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0.tif,dtm_cti_merit.dem_m,DTM_CTI_MERIT-DEM_M,"cti,merit,dem",dtm_cti_merit.dem_m.sld,cti,2D_N,dtm,Compound topographic index,"Based on the MERIT DEM (Yamazaki et al. 2017) described in Amatulli et al. (2019; Geomorpho90m dataset), derived using GRASS GIS and Equi7 grid system.",1000 x index,https://github.com/selvaje/YaleRep/blob/master/MERIT,http://www.spatial-ecology.net/dokuwiki/doku.php?id=topovar90m,Yale University - Spatial Ecology,Giuseppe Amatulli,giuseppe.amatulli@gmail.com,Creative Commons Attribution Share-Alike 4.0,https://creativecommons.org/licenses/by-sa/4.0/,8-Mar-2018,Geomorpho90m - Global high-resolution geomorphometry layers: empirical evaluation and accuracy assessment,10.7287/peerj.preprints.27595v1,https://doi.org/10.5281/zenodo.1805609,1805610,https://grass.osgeo.org/grass74/manuals/r.watershed.html,1
