Number,Group,Name
1,dtm_lithology_usgs.ecotapestry.acid.plutonics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.acid.plutonics
2,dtm_lithology_usgs.ecotapestry.acid.volcanic_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.acid.volcanic
3,dtm_lithology_usgs.ecotapestry.basic.plutonics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.basic.plutonics
4,dtm_lithology_usgs.ecotapestry.basic.volcanics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.basic.volcanics
5,dtm_lithology_usgs.ecotapestry.carbonate.sedimentary.rock_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.carbonate.sedimentary.rock
6,dtm_lithology_usgs.ecotapestry.evaporite_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.evaporite
7,dtm_lithology_usgs.ecotapestry.ice.and.glaciers_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.ice.and.glaciers
8,dtm_lithology_usgs.ecotapestry.intermediate.plutonics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.intermediate.plutonics
9,dtm_lithology_usgs.ecotapestry.intermediate.volcanics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.intermediate.volcanics
10,dtm_lithology_usgs.ecotapestry.metamorphics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.metamorphics
11,dtm_lithology_usgs.ecotapestry.mixed.sedimentary.rock_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.mixed.sedimentary.rock
12,dtm_lithology_usgs.ecotapestry.pyroclastics_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.pyroclastics
13,dtm_lithology_usgs.ecotapestry.siliciclastic.sedimentary_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.siliciclastic.sedimentary
14,dtm_lithology_usgs.ecotapestry.unconsolidated.sediment_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.unconsolidated.sediment
15,dtm_lithology_usgs.ecotapestry.undefined_p_250m_s0..0cm_2014_v1.0.tif,usgs.ecotapestry.undefined
