"procedure_key","procedure_name","requested_analysis_name","procedure_abbreviation","procedure_code","procedure_description","SSIR_42_v_5_Page_number","URL_to_SSIR_42_v_5"
1,"Aggregate Stability, 2- to 0.5-mm Aggregates Retained","Aggregate Stability","AGGSTAB","3F1a1a","SSIR No. 42, version 4, page 163","213","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=241"
233,"Saturated Paste and Soluble Salts, EC cap rise","Saturated Paste and Soluble Salts","SATPEC2","8A1a","CMS","989","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=1017"
234,"Saturated Paste and Soluble Salts, AA I","Saturated Paste and Soluble Salts","SatxAA1",,"CMS",,
235,"Saturated Paste and Soluble Salts, AA II","Saturated Paste and Soluble Salts","SatxAA2",,"CMS",,
236,"Saturated Paste and Soluble Salts, ICP","Saturated Paste and Soluble Salts","SatxICP",,"CMS",,
237,"Bulk Density, Reconstituted, Moist","Bulk Density, Reconstituted, Moist","DBRECON_M","DbRec1","CMS",,
242,"derived AL_SAT, 5G1b","Derived","none","5G1b","CMS",,
243,"derived AL_SAT, 5G1","Derived","none","5G1","CMS",,
244,"derived BSECAT, 5C3b","Derived","none","5C3b","CMS",,
245,"derived BSECAT, 5C3","Derived","none","5C3","CMS",,
246,"derived BSESAT, 5C1","Derived","none","5C1","CMS",,
247,"derived CEC_SUM, 5A3c","Derived","none","5A3c","CMS",,
248,"derived CEC_SUM, 5A3a","Derived","none","5A3a","CMS",,
249,"derived COLE, 4D1","Derived","none","4D1","CMS",,
250,"derived ECEC, 5A3d","Derived","none","5A3d","CMS",,
251,"derived ECEC, 5A3b","Derived","none","5A3b","CMS",,
252,"derived est total salts, 8D5","Derived","none","8D5","CMS",,
253,"derived NA_EXCH, 5D2","Derived","none","5D2","CMS",,
254,"derived SAR, 5E","Derived","none","5E","CMS",,
255,"derived WRD, 4C1b","Derived","none","4C1b","CMS",,
256,"derived WRD, 4C1","Derived","none","4C1","CMS",,
257,"Unknown","Unknown","none","NK","CMS",,
258,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12","CMS","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
258,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12b","CMS","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
259,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9a","CMS","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
259,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9b","CMS","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
259,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9c","CMS",,
260,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2","CMS","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
260,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2b","CMS","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
260,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2c","CMS",,
261,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
261,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12b","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
262,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9a","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
262,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9b","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
262,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9c","CMS, SSIR No. 42, version 3, page",,
263,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
263,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2b","CMS, SSIR No. 42, version 3, page","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
263,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2c","CMS, SSIR No. 42, version 3, page",,
264,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
264,"Cations, Acid Oxalate Extractable, Aluminum","Acid Oxalate extraction","OXAL","6G12b","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
265,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9a","CMS, SSIR No. 42, version 3, page 279","846","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=874"
265,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9b","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
265,"Cations, Acid Oxalate Extractable, Iron","Acid Oxalate extraction","OXAL","6C9c","CMS, SSIR No. 42, version 3, page 279",,
266,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
266,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2b","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
266,"Cations, Acid Oxalate Extractable, Silica","Acid Oxalate extraction","OXAL","6V2c","CMS, SSIR No. 42, version 3, page 279",,
267,"Cations, Acid Oxalate Extractable, Manganese","Acid Oxalate extraction","OXAL","6D5b","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
267,"Cations, Acid Oxalate Extractable, Manganese","Acid Oxalate extraction","OXAL","6D5b","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
268,"Cations, Acid Oxalate Extractable, Phosphorus","Acid Oxalate extraction","OXAL","6S8a","CMS, SSIR No. 42, version 3, page 279","742","http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=770"
