"data_tier_desc","column_index","column_name","analyte_name","analyte_abbrev","analyte_code","analyte_type","analyte_data_type","analyte_format","uom_abbrev","analyte_desc","calc_size_frac"
"PSDA and Rock Fragments",5,"total_silt","Silt, Total, Dith","silt_tot_dith","SiltD_d-1_S","derived_analyte","F","4.1","% wt","Total silt is the soil separate with 0.002 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, Dith","silt_c_dith","CSiltD_d-1_S","derived_analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base.","<2 mm"
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, Dith","sand_tot_dith","SandD_d-1_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep","<2 mm"
"Phosphorus",8,"p_res1_24","Phosphorous, anion_resin_capacity, N Prep","p_res1-24","AER-cap_d-1_N","derived_analyte","F","4.1","mg/kg","Anion Exchange Resin Capacity is calculated by adding the reading at 1 hour and the reading at 24 hours.","<2 mm"
"Phosphorus",8,"p_res1_24","Phosphorous, anion_resin_capacity, S Prep","p_res1-24","AER-cap_d-1_S","derived_analyte","F","4.1","mg/kg","Anion Exchange Resin Capacity is calculated by adding the reading at 1 hour and the reading at 24 hours.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, S Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_S","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Andic Soil Properties Tier 2",10,"al_fe_ox","Aluminum plus half Iron Oxalate, S Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_S","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.",
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, S Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_S","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, N Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_N","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Andic Soil Properties Tier 2",10,"al_fe_ox","Aluminum plus half Iron Oxalate, N Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_N","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.",
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, N Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_N","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, MW Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_MW","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, MW Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_MW","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, M Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_M","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"PSDA and Rock Fragments",11,"vf_sand","Sand, Very Fine, no pretreatment, Pipet","sand_vf_psa1","SndVFp1","aggregate analyte","F","4.1","% wt","Very fine sand is the soil separate with 0.05 to 0.10 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",15,"vc_sand","Sand, Very Coarse, no pretreatment, Pipet","sand_vc_psa1","SndVCp1","aggregate analyte","F","4.1","% wt","Very coarse sand is the soil separate with 1.0 to 2.0 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",13,"m_sand","Sand, Medium, no pretreatment, Pipet","sand_m_psa1","SndM_p1","aggregate analyte","F","4.1","% wt","Medium sand is the soil separate with 0.25 to 0.50 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",12,"f_sand","Sand, Fine, no pretreatment, Pipet","sand_f_psa1","SndF_p1","aggregate analyte","F","4.1","% wt","Fine sand is the soil separate with 0.10 to 0.25 mm diameter particles. It is reported as a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",14,"c_sand","Sand, Coarse, no pretreatment, Pipet","sand_c_psa1","SndC_p1","aggregate analyte","F","4.1","% wt","Coarse sand is the soil separate with 0.5 to 1.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. Organic matter and soluble salts not removed.",
"PSDA and Rock Fragments",4,"total_clay","Clay, no pretreatment, Pipet","clay_tot_psa1","ClyT_p1","aggregate analyte","F","4.1","% wt","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction. Organic matter and soluble salts not removed.","<2 mm"
"Salt",19,"te_salt_si","Total Salt, Estimated, SI-Set 2, N Prep","te_salt_si2","EsSalt_d-2_N","derived_analyte","F","4.1","% wt","The total estimated salt content of a sample is calculated from the electrical conductivity. It is reported as gravimetric percent on a <2 mm base.",
"Salt",19,"te_salt_si","Total Salt, Estimated, SI-Set 2, S Prep","te_salt_si2","EsSalt_d-2_S","derived_analyte","F","4.1","% wt","The total estimated salt content of a sample is calculated from the electrical conductivity. It is reported as gravimetric percent on a <2 mm base.",
"Salt",23,"sar_si","Ratio, Sodium Absorption, SI-Set 2, N Prep","sar_si2","SAR_d-2_N","derived_analyte","F","4","(NA)","The sodium absorption ratio is calculated by NA_SATX/sqrt((CA_SATX+MG_SATX)/2). It is approximately equal to the exchangeable sodium percentage.",
"Salt",23,"sar_si","Ratio, Sodium Absorption, SI-Set 2, S Prep","sar_si2","SAR_d-2_S","derived_analyte","F","4","(NA)","The sodium absorption ratio is calculated by NA_SATX/sqrt((CA_SATX+MG_SATX)/2). It is approximately equal to the exchangeable sodium percentage.",
"Salt",22,"na_exch","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 4","na_exch_sat1_cecd8","ESPsat_d-17_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Taxonomy Tier 2",19,"na_exch_sat_cec","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 4","na_exch_sat1_cecd8","ESPsat_d-17_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Salt",22,"na_exch","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 3","na_exch_sat1_cecd7","ESPsat_d-16_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Taxonomy Tier 2",19,"na_exch_sat_cec","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 3","na_exch_sat1_cecd7","ESPsat_d-16_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Salt",22,"na_exch","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 2","na_exch_sat1_cecd6","ESPsat_d-15_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Taxonomy Tier 2",19,"na_exch_sat_cec","Exchangeable Sodium Percentage, SI-Set 2, CECd-Set 2","na_exch_sat1_cecd6","ESPsat_d-15_S","derived_analyte","F","3","%","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na.","<2 mm"
"Andic Soil Properties Tier 2",10,"al_fe_ox","Aluminum plus half Iron Oxalate, M Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_M","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.",
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, M Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_M","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, HM Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_HM","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, HM Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_HM","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Taxonomy Tier 2",8,"al_fe_ox","Aluminum plus half Iron Oxalate, GP Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_GP","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Andic Soil Properties Tier 2",10,"al_fe_ox","Aluminum plus half Iron Oxalate, GP Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_GP","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.",
"Carbon and Extractions",12,"al_fe_ox","Aluminum plus half Iron Oxalate, GP Prep, Inst Set 4","al_fe_ox4","Alfeox_d-4_GP","derived_analyte","F","5.2","% wt","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.","<2 mm"
"Supplementary Tier 4",19,"sand_tot_psa","Sand, Total, Pipet","sand_tot_psa","Sand_S","aggregate_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep",
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, Pipet","sand_tot_psa","Sand_S","aggregate_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep",
"PSDA and Rock Fragments",4,"total_clay","Clay, coulter counter","clay_tot_psa2","ClyT_p3","aggregate analyte","F","4.1","% wt","Total clay is the soil separate with <0.002 mm particle diameter. Clay size carbonate is included. Total clay is reported as a weight percent of the <2 mm fraction. ",
"PSDA and Rock Fragments",14,"c_sand","Sand, Coarse, coulter counter","sand_c_psa2","SndC_p3","aggregate analyte","F","4.1","% wt","Coarse sand is the soil separate with 0.5 to 1.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",12,"f_sand","Sand, Fine, coulter counter","sand_f_psa2","SndF_p3","aggregate analyte","F","4.1","% wt","Fine sand is the soil separate with 0.10 to 0.25 mm diameter particles. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",13,"m_sand","Sand, Medium, coulter counter","sand_m_psa2","SndM_p3","aggregate analyte","F","4.1","% wt","Medium sand is the soil separate with 0.25 to 0.50 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",15,"vc_sand","Sand, Very Coarse, coulter counter","sand_vc_psa2","SndVCp3","aggregate analyte","F","4.1","% wt","Very coarse sand is the soil separate with 1.0 to 2.0 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",11,"vf_sand","Sand, Very Fine, coulter counter","sand_vf_psa2","SndVFp3","aggregate analyte","F","4.1","% wt","Very fine sand is the soil separate with 0.05 to 0.10 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",9,"fine_silt","Silt, Fine, coulter counter","silt_f_psa2","SiltFp3","aggregate analyte","F","4.1","% wt","Fine silt is the soil separate with 0.002 to 0.005 mm particle diameter. It is reported as a gravimetric percent on a <2 mm base. ",
"PSDA and Rock Fragments",6,"total_sand","Sand, Total, coulter counter","sand_tot_psa2","Sand_d-4_S","derived_analyte","F","4.1","% wt","Total sand is the soil separate with 0.05 to 2.0 mm particle diameter. It is reported a gravimetric percent on a <2 mm base. S prep ",
"PSDA and Rock Fragments",10,"coarse_silt","Silt, Coarse, coulter counter","silt_c_psa2","SiltCp3","aggregate analyte","F","4.1","% wt","Coarse silt is the soil separate with 0.02 to 0.05 mm particle size. It is reported as a gravimetric percent on a <2 mm base. ",
