"project_key","lab_proj_name","submit_proj_name","source_name"
1,"NL40001","SSIR SAMPLES","NSSL Manual Entry"
2,"NL40002","SSIR SAMPLES","NSSL Manual Entry"
3,"NL40003","SSIR SAMPLES","NSSL Manual Entry"
4,"NL40004","SSIR SAMPLES","NSSL Manual Entry"
5,"NL40005","SSIR SAMPLES","NSSL Manual Entry"
6,"NL40006","SSIR SAMPLES","NSSL Manual Entry"
7,"NL40007","SSIR SAMPLES","NSSL Manual Entry"
8,"NL40008","SSIR SAMPLES","NSSL Manual Entry"
9,"NL40009","SSIR SAMPLES","NSSL Manual Entry"
10,"NL40010","SSIR SAMPLES","NSSL Manual Entry"
12,"NL67UT001","SALT LAKE CO.","NSSL Riverside"
13,"NL67UT002","SANPETE CO.","NSSL Riverside"
14,"NL67OR003","KLAMATH CO.","NSSL Riverside"
15,"NL67AZ004","CENTRAL ARIZONA","NSSL Riverside"
22,"NL68UT007","PAUNSAUGUNT","NSSL Riverside"
23,"NL68UT008","DESERT RANGE","NSSL Riverside"
25,"NL68UT010","DESERT RANGE","NSSL Riverside"
26,"NL71CA011","GARFIELD COUNTY","NSSL Riverside"
27,"NL68UT012","DESERT RANGE","NSSL Riverside"
31,"NL68CA017","TAHOE BASIN","NSSL Riverside"
32,"NL68ID018","NE WASHINGTON","NSSL Riverside"
34,"NL68CA020","NEVADA COUNTY","NSSL Riverside"
35,"NL68UT021","WASATCH A.CACHE","NSSL Riverside"
37,"NL68AZ023","E.PIMA-SANTA CRU","NSSL Riverside"
43,"NL69CA006","PLACER COUNTY","NSSL Riverside"
44,"NL69UT007","NEVADA COUNTY","NSSL Riverside"
47,"NL71WA010","GARFIELD COUNTY","NSSL Riverside"
48,"NL69CA011","SAN BERNARDINO","NSSL Riverside"
49,"NL69UT012","UTAH SAMPLE","NSSL Riverside"
50,"NL69OR013","OREGON SAMPLE","NSSL Riverside"
51,"NL69ID014","IDAHO SAMPLE","NSSL Riverside"
52,"NL69OR015","VISTA QUARRY","NSSL Riverside"
53,"NL69AK016","HOLLIS","NSSL Riverside"
54,"NL67NM017","FARMINGTON-AZTEC","NSSL Riverside"
55,"NL69OR018","CHELAN COUNTY","NSSL Riverside"
56,"NL69NC019","NORTH CAROLINA","NSSL Riverside"
57,"NL69AK020","SC & SW ALASKA","NSSL Riverside"
58,"NL69NV021","NO WASHOE COUNTY","NSSL Riverside"
59,"NL69NV022","LAHONTAN BASIN","NSSL Riverside"
60,"NL69NV023","LAKE TAHOE","NSSL Riverside"
61,"NL69NV024","NYE COUNTY","NSSL Riverside"
62,"NL69CA025","BRAWLEY","NSSL Riverside"
63,"NL69WY026","STAR VALLEY","NSSL Riverside"
64,"NL69ID027","PAYETTE COUNTY","NSSL Riverside"
65,"NL68NV028","DIAMOND VALLEY","NSSL Riverside"
66,"NL61MT029","MISSOULA COUNTY","NSSL Riverside"
67,"NL69CO030","SAGUACHE COUNTY","NSSL Riverside"
68,"NL69CA031","TAHOE BASIN","NSSL Riverside"
69,"NL69AZ032","WILLCOX","NSSL Riverside"
70,"NL69UT033","WASHINGTON CO","NSSL Riverside"
71,"NL69OR034","ROGUE RIV BASIN","NSSL Riverside"
72,"NL69AZ035","WALNUT G.-TUCSON","NSSL Riverside"
73,"NL70ID001","PANHANDLE","NSSL Riverside"
74,"NL70MT002","MISSOULA CO.","NSSL Riverside"
75,"NL70UT003","SANPETE","NSSL Riverside"
76,"NL68UT004","DELTA","NSSL Riverside"
77,"NL70UT005","WASHINGTON CO.","NSSL Riverside"
78,"NL70OR006","MULTNOMAH","NSSL Riverside"
79,"NL70NM007","SAN JUAN BASIN","NSSL Riverside"
80,"NL70CO008","SAN LUIS BASIN","NSSL Riverside"
81,"NL70MT009","MISSOULA COUNTY","NSSL Riverside"
82,"NL70WY001","WYOMING SAMPLE","NSSL Riverside"
84,"NL71AZ003","CENT. MARICOPA","NSSL Riverside"
85,"NL71UT004","MORGAN-SUMMIT","NSSL Riverside"
86,"NL71UT005","SANPETE","NSSL Riverside"
87,"NL71WA006","PUGET SOUND","NSSL Riverside"
88,"NL71NM007","MID RIO GRANDE","NSSL Riverside"
89,"NL71CA008","ORANGE CO.","NSSL Riverside"
90,"NL71CA001","CONTRA COSTA ARE","NSSL Riverside"
91,"NL72NV002","DIXIE VALLEY","NSSL Riverside"
