"","layer_key","labsampnum","project_key","site_key","pedon_key","layer_sequence","layer_type","layer_field_label_1","layer_field_label_2","layer_field_label_3","hzn_top","hzn_bot","hzn_desgn_old","hzn_desgn","hzn_discontinuity","hzn_master","hzn_prime","hzn_vert_subdvn","hzn_desgn_other","non_hzn_desgn","stratified_textures_flag","texture_description","result_source_key","prep_code","db_13b","db_od","COLEws","w6clod","w10cld","w3cld","w15l2","w15bfm","adod","wrd_ws13","aggstb","cec7_cly","w15cly","c_adod","result_source_key","prep_code","c_tot","c_tot_code","n_tot","n_tot_code","s_tot","s_tot_code","oc","oc_code","c_n_ra","fe_dith","fe_dith_code","al_dith","al_dith_code","mn_dith","mn_dith_code","al_fe_ox","optd_ox","optd_ox_code","fe_ox","fe_ox_code","al_ox","al_ox_code","mn_ox","mn_ox_code","si_ox","si_ox_code","c_pyp","c_pyp_code","fe_pyp","fe_pyp_code","al_pyp","al_pyp_code","mn_pyp","mn_pyp_code","result_source_key","prep_code","min_lt2","eom_tot_c","eom_minlt2","c_tot","n_tot","c_n_ra","fib_urb","fib_rb","pyr_col","decomp_state","limnic_type","ph_hist","ph_h2o","db_3brw","db_3rw","db_od","oc","result_source_key","prep_code","ph_cacl2","ph_h2o","ph_kcl","ph_naf","ph_sp","caco3","caco3l20","c_gypl2","gypl20","resist","ph_ox","ph_oxin","result_source_key","prep_code","clay_tot_psa","silt_tot_psa","sand_tot_psa","clay_f","co3_cly","silt_f_psa","silt_c_psa","sand_vf_psa","sand_f_psa","sand_m_psa","sand_c_psa","sand_vc_psa","wf_25","wf_520","wf_2075","wf_0175","wpg2","tex_psda"
"1",104,"40A00162",1,15,15,5,"horizon","11711","","",66,84,"D12ca","Bk2","","B","","2","","","","",104,"S",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1.03999996,0.74000001,NA,104,"S",NA,"",NA,"",NA,"",0.159999996,"6A1a",NA,0.5,"6C1a",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,"S",NA,8,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,104,"S",13.5,15.8999996,70.5999985,NA,NA,13.3999996,2.5,1,3,7.19999981,30.2000008,29.2000008,30,19,0,70,49,"cosl"
"2",105,"40A00163",1,15,15,6,"horizon","11712","","",84,117,"D2","C1","","C","","1","","","","",105,"S",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,0.839999974,0.680000007,NA,105,"S",NA,"",NA,"",NA,"",0.0700000003,"6A1a",NA,0.699999988,"6C1a",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,"S",NA,8.10000038,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,105,"S",13.1999998,16.7999992,70,NA,NA,13.8000002,3,1.89999998,5.4000001,8.19999981,28.7999992,25.7000008,38,24,0,68,62,"cosl"
"3",106,"40A00164",1,15,15,7,"horizon","11713","","",117,152,"D3","C2","","C","","2","","","","",106,"S",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1.05999994,0.879999995,NA,106,"S",NA,"",NA,"",NA,"",0.0399999991,"6A1a",NA,0.600000024,"6C1a",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,"S",NA,8.19999981,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,106,"S",8,8.89999962,83.0999985,NA,NA,7,1.89999998,0.5,2.79999995,12.1999998,34.4000015,33.2000008,39,24,0,83,63,"lcos"
"4",107,"40A00165",1,16,16,1,"horizon","52","","",0,13,"Ap","Ap","","A","","","","","","",107,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00999999,NA,NA,107,"S",NA,"",0.298000008,"6B1a",NA,"",3.3599999,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,"S",NA,NA,NA,NA,6.9000001,0,NA,0,NA,NA,NA,NA,107,"S",23.7999992,40.5999985,35.5999985,NA,NA,24.5,16.1000004,8.60000038,13.8999996,6.80000019,4.5,1.79999995,1,1,0,27,2,"l"
"5",108,"40A00166",1,16,16,2,"horizon","53","","",13,18,"A2","E","","E","","","","","","",108,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790000021,NA,NA,108,"S",NA,"",0.163000003,"6B1a",NA,"",1.83000004,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,"S",NA,NA,NA,NA,6.5,0,NA,0,NA,NA,NA,NA,108,"S",21.3999996,42.5,36.0999985,NA,NA,28.5,14,8,14.6000004,7.0999999,4.5999999,1.79999995,0,0,0,28,0,"l"
"6",109,"40A00167",1,16,16,3,"horizon","54","","",18,41,"B2","Bw1","","B","","1","","","","",109,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779999971,NA,NA,109,"S",NA,"",0.122000001,"6B1a",NA,"",1.25,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"S",NA,NA,NA,NA,6.5999999,0,NA,0,NA,NA,NA,NA,109,"S",32.4000015,36.5999985,31,NA,NA,20.3999996,16.2000008,7.5,11.8999996,6,4.0999999,1.5,0,0,0,24,0,"cl"
"7",110,"40A00168",1,16,16,4,"horizon","55","","",41,61,"B3","Bw2","","B","","2","","","","",110,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699999988,NA,NA,110,"S",NA,"",0.0480000004,"6B1a",NA,"",0.529999971,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,"S",NA,NA,NA,NA,8,0,NA,0,NA,NA,NA,NA,110,"S",28.1000004,32.4000015,39.5,NA,NA,18,14.3999996,10.3000002,18.3999996,8,2.5999999,0.200000003,0,0,0,29,0,"cl"
"8",111,"40A00169",1,16,16,5,"horizon","56","","",61,91,"Cca1","Bk1","","B","","1","","","","",111,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.579999983,NA,NA,111,"S",NA,"",0.0340000018,"6B1a",NA,"",0.289999992,"6A1a",9,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,"S",NA,NA,NA,NA,8.10000038,9,NA,0,NA,NA,NA,NA,111,"S",30.1000004,34.9000015,35,NA,NA,22.3999996,12.5,9.60000038,13.3999996,5.5999999,4.4000001,2,1,1,0,25,2,"cl"
"9",112,"40A00170",1,16,16,6,"horizon","57","","",91,122,"Cca2","Bk2","","B","","2","","","","",112,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569999993,NA,NA,112,"S",NA,"",0.0299999993,"6B1a",NA,"",0.270000011,"6A1a",9,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,"S",NA,NA,NA,NA,8.10000038,8,NA,0,NA,NA,NA,NA,112,"S",30.7000008,34.5999985,34.7000008,NA,NA,21.7999992,12.8000002,9.60000038,13.3999996,5.5999999,4.4000001,1.70000005,2,1,0,25,3,"cl"
"10",113,"40A00171",1,16,16,7,"horizon","58","","",122,183,"C1","C","","C","","","","","","",113,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600000024,NA,NA,113,"S",NA,"",0.0299999993,"6B1a",NA,"",0.239999995,"6A1a",8,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,"S",NA,NA,NA,NA,8,7,NA,0,NA,NA,NA,NA,113,"S",29,34.5,36.5,NA,NA,21,13.5,9.80000019,13.6000004,5.5,4.80000019,2.79999995,3,2,0,27,5,"cl"
