Variable_table,Variable_code,Variable_description,Variable_units,Variable_procedure_code,Comment
NCSS_Bulk_Density_and_Moisture.csv,db_13b,Bulk density (33kPa),g cm-3,4A1d,
NCSS_Bulk_Density_and_Moisture.csv,db_od,Bulk density (Oven Dry),g cm-3,4A1h,
NCSS_Bulk_Density_and_Moisture.csv,COLEws,Coefficient of Linear Extensibility (COLE) whole soil,ratio,3D4,
NCSS_Bulk_Density_and_Moisture.csv,w6clod,Water Content 6 kPa <2mm,% wt,4B1c,
NCSS_Bulk_Density_and_Moisture.csv,w10cld,Water Content 10 kPa <2mm,% wt,4B1c,
NCSS_Bulk_Density_and_Moisture.csv,w3cld,Water Content 33 kPa <2mm,% wt,4B1c,
NCSS_Bulk_Density_and_Moisture.csv,w15l2,Water Content 1500 kPa <2mm,% wt,3C2a1a,
NCSS_Bulk_Density_and_Moisture.csv,w15bfm,Water Content 1500 kPa moist  <2mm,% wt,3C2a1a,
NCSS_Bulk_Density_and_Moisture.csv,adod,Air-Dry/Oven-Dry,ratio,3D1,
NCSS_Bulk_Density_and_Moisture.csv,wrd_ws13,"Water Retention Difference whole soil, 1500-kPa suction and an upper limit of usually 33-kPa",cm3 / cm-3,4C1,
NCSS_Bulk_Density_and_Moisture.csv,cec7_cly,CEC-7/Clay ratio,ratio,8D1,
NCSS_Bulk_Density_and_Moisture.csv,w15cly,CEC/Clay ratio at 1500 kPa,ratio,8D1,
NCSS_PSDA_and_Rock_Fragments.csv,tex_psda,"Texture Determined, PSDA",factor,3A1a1a,
NCSS_PSDA_and_Rock_Fragments.csv,clay_tot_psa,"Total Clay, <0.002 mm (<2 µm)",% wt,3A1a1a,
NCSS_PSDA_and_Rock_Fragments.csv,silt_tot_psa,"Total Silt, 0.002-0.05 mm",% wt,3A1a1a,
NCSS_PSDA_and_Rock_Fragments.csv,sand_tot_psa,"Total Sand, 0.05-2.0 mm",% wt,3A1a1a,
NCSS_PSDA_and_Rock_Fragments.csv,wpg2,Coarse fragments >2-mm weight fraction ,% wt,3B1,
NCSS_Carbon_and_Extractions.csv,oc,Organic carbon dry combustion,% wt,6A1c,
NCSS_pH_and_Carbonates.csv,ph_kcl,"pH, 1N KCl",ratio,"4C1a2a3, 8C1c",
NCSS_pH_and_Carbonates.csv,ph_h2o,"pH, 1:1 Water",ratio,"4C1a2a, 8C1a",
NCSS_CEC_and_Bases.csv,cec_sum,Sum of Cations (CEC-8.2),cmol(+) kg-1,5A8b,
NCSS_CEC_and_Bases.csv,cec_nh4,"NH4OAc, pH 7 (CEC-7)",cmol(+) kg-1,5A8b,
,KSat,Saturated Hydraulic Conductivity,m/s,,
