"LatinName","GBIF_ID","N","ScienceName","LocalName","LatinNameSimplified"
"Abies alba - Silver fir",2685484,"69,026","Abies alba "," Silver fir","Abies alba"
"Abies spp. - Circum_Mediterranean firs",2684876,"96,934","Abies spp. "," Circum_Mediterranean firs","Abies cephalonica"
"Acer campestre - Field maple",3189863,"149,937","Acer campestre "," Field maple","Acer campestre"
"Acer platanoides - Norway maple",3189846,"82,563","Acer platanoides "," Norway maple","Acer platanoides"
"Acer pseudoplatanus - Sycamore maple",3189870,"217,676","Acer pseudoplatanus "," Sycamore maple","Acer pseudoplatanus"
"Aesculus hippocastanum - European horse / chestnut",3189815,"33,784","Aesculus hippocastanum "," European horse / chestnut","Aesculus hippocastanum"
"Ailanthus altissima - Tree of heaven",3190653,"15,594","Ailanthus altissima "," Tree of heaven","Ailanthus altissima"
"Alnus cordata - Italian alder",2876607,"1,348","Alnus cordata "," Italian alder","Alnus cordata"
"Alnus glutinosa - Common alder",2876213,"242,981","Alnus glutinosa "," Common alder","Alnus glutinosa"
"Alnus incana - Grey alder",2876388,"61,509","Alnus incana "," Grey alder","Alnus incana"
"Alnus viridis - Green alder",2876280,"1,819","Alnus viridis "," Green alder",
"Betula spp. - Birches",2875008,"1,071,095","Betula spp. "," Birches","Betula humilis"
"Carpinus betulus - Common hornbeam",2875818,"140,690","Carpinus betulus "," Common hornbeam","Carpinus betulus"
"Carpinus orientalis - Oriental hornbeam",2875780,620,"Carpinus orientalis "," Oriental hornbeam","Carpinus orientalis"
"Castanea sativa - Sweet chestnut",5333294,"82,008","Castanea sativa "," Sweet chestnut","Castanea sativa"
"Celtis australis - Nettle tree",2984492,"8,767","Celtis australis "," Nettle tree","Cedrus atlantica"
"Chamaecyparis lawsoniana - Lawson cypress",2683866,"3,560","Chamaecyparis lawsoniana "," Lawson cypress","Chamaecyparis lawsoniana"
"Cornus mas - Cornelian cherry",3082263,"18,062","Cornus mas "," Cornelian cherry","Cornus mas"
"Cornus sanguinea - Common dogwood",3082234,"174,280","Cornus sanguinea "," Common dogwood","Cornus sanguinea"
"Corylus avellana - Common hazel",2875979,"293,901","Corylus avellana "," Common hazel","Corylus avellana"
